,Ranking,Movie,Rating,Year,Crew
0,1,The Shawshank Redemption,9.24,1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman"
1,2,The Godfather,9.16,1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino"
2,3,The Dark Knight,8.99,2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger"
3,4,The Godfather Part II,8.98,1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro"
4,5,12 Angry Men,8.95,1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb"
5,6,Schindler's List,8.94,1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes"
6,7,The Lord of the Rings: The Return of the King,8.93,2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen"
7,8,Pulp Fiction,8.85,1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman"
8,9,The Lord of the Rings: The Fellowship of the Ring,8.81,2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
9,10,"Il buono, il brutto, il cattivo",8.79,1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach"
10,11,Forrest Gump,8.77,1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright"
11,12,Fight Club,8.75,1999,"David Fincher (dir.), Brad Pitt, Edward Norton"
12,13,The Lord of the Rings: The Two Towers,8.73,2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen"
13,14,Inception,8.73,2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt"
14,15,The Empire Strikes Back,8.7,1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford"
15,16,The Matrix,8.67,1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne"
16,17,Goodfellas,8.65,1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta"
17,18,One Flew Over the Cuckoo's Nest,8.64,1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher"
18,19,Se7en,8.6,1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt"
19,20,Shichinin no samurai,8.6,1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura"
20,21,It's a Wonderful Life,8.6,1946,"Frank Capra (dir.), James Stewart, Donna Reed"
21,22,The Silence of the Lambs,8.59,1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins"
22,23,Cidade de Deus,8.58,2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino"
23,24,Saving Private Ryan,8.58,1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon"
24,25,La vita è bella,8.57,1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi"
25,26,Interstellar,8.56,2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway"
26,27,The Green Mile,8.56,1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan"
27,28,Star Wars,8.55,1977,"George Lucas (dir.), Mark Hamill, Harrison Ford"
28,29,Terminator 2: Judgment Day,8.54,1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton"
29,30,Back to the Future,8.52,1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd"
30,31,Sen to Chihiro no kamikakushi,8.52,2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette"
31,32,Psycho,8.51,1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh"
32,33,The Pianist,8.51,2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann"
33,34,Gisaengchung,8.5,2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun"
34,35,Léon,8.5,1994,"Luc Besson (dir.), Jean Reno, Gary Oldman"
35,36,The Lion King,8.49,1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons"
36,37,Gladiator,8.49,2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix"
